DateKey,Date,Year,Quarter,QuarterLabel,MonthNumber,MonthName,YearMonth,WeekOfYear,DayOfMonth,DayName,IsWeekend,IsToday
20241227,2024-12-27,2024,4,Q4 2024,12,December,2024-12,52,27,Friday,0,0
20241228,2024-12-28,2024,4,Q4 2024,12,December,2024-12,52,28,Saturday,1,0
20241229,2024-12-29,2024,4,Q4 2024,12,December,2024-12,52,29,Sunday,1,0
20241230,2024-12-30,2024,4,Q4 2024,12,December,2024-12,1,30,Monday,0,0
20241231,2024-12-31,2024,4,Q4 2024,12,December,2024-12,1,31,Tuesday,0,0
20250101,2025-01-01,2025,1,Q1 2025,1,January,2025-01,1,1,Wednesday,0,0
20250102,2025-01-02,2025,1,Q1 2025,1,January,2025-01,1,2,Thursday,0,0
20250103,2025-01-03,2025,1,Q1 2025,1,January,2025-01,1,3,Friday,0,0
20250104,2025-01-04,2025,1,Q1 2025,1,January,2025-01,1,4,Saturday,1,0
20250105,2025-01-05,2025,1,Q1 2025,1,January,2025-01,1,5,Sunday,1,0
20250106,2025-01-06,2025,1,Q1 2025,1,January,2025-01,2,6,Monday,0,0
20250107,2025-01-07,2025,1,Q1 2025,1,January,2025-01,2,7,Tuesday,0,0
20250108,2025-01-08,2025,1,Q1 2025,1,January,2025-01,2,8,Wednesday,0,0
20250109,2025-01-09,2025,1,Q1 2025,1,January,2025-01,2,9,Thursday,0,0
20250110,2025-01-10,2025,1,Q1 2025,1,January,2025-01,2,10,Friday,0,0
20250111,2025-01-11,2025,1,Q1 2025,1,January,2025-01,2,11,Saturday,1,0
20250112,2025-01-12,2025,1,Q1 2025,1,January,2025-01,2,12,Sunday,1,0
20250113,2025-01-13,2025,1,Q1 2025,1,January,2025-01,3,13,Monday,0,0
20250114,2025-01-14,2025,1,Q1 2025,1,January,2025-01,3,14,Tuesday,0,0
20250115,2025-01-15,2025,1,Q1 2025,1,January,2025-01,3,15,Wednesday,0,0
20250116,2025-01-16,2025,1,Q1 2025,1,January,2025-01,3,16,Thursday,0,0
20250117,2025-01-17,2025,1,Q1 2025,1,January,2025-01,3,17,Friday,0,0
20250118,2025-01-18,2025,1,Q1 2025,1,January,2025-01,3,18,Saturday,1,0
20250119,2025-01-19,2025,1,Q1 2025,1,January,2025-01,3,19,Sunday,1,0
20250120,2025-01-20,2025,1,Q1 2025,1,January,2025-01,4,20,Monday,0,0
20250121,2025-01-21,2025,1,Q1 2025,1,January,2025-01,4,21,Tuesday,0,0
20250122,2025-01-22,2025,1,Q1 2025,1,January,2025-01,4,22,Wednesday,0,0
20250123,2025-01-23,2025,1,Q1 2025,1,January,2025-01,4,23,Thursday,0,0
20250124,2025-01-24,2025,1,Q1 2025,1,January,2025-01,4,24,Friday,0,0
20250125,2025-01-25,2025,1,Q1 2025,1,January,2025-01,4,25,Saturday,1,0
20250126,2025-01-26,2025,1,Q1 2025,1,January,2025-01,4,26,Sunday,1,0
20250127,2025-01-27,2025,1,Q1 2025,1,January,2025-01,5,27,Monday,0,0
20250128,2025-01-28,2025,1,Q1 2025,1,January,2025-01,5,28,Tuesday,0,0
20250129,2025-01-29,2025,1,Q1 2025,1,January,2025-01,5,29,Wednesday,0,0
20250130,2025-01-30,2025,1,Q1 2025,1,January,2025-01,5,30,Thursday,0,0
20250131,2025-01-31,2025,1,Q1 2025,1,January,2025-01,5,31,Friday,0,0
20250201,2025-02-01,2025,1,Q1 2025,2,February,2025-02,5,1,Saturday,1,0
20250202,2025-02-02,2025,1,Q1 2025,2,February,2025-02,5,2,Sunday,1,0
20250203,2025-02-03,2025,1,Q1 2025,2,February,2025-02,6,3,Monday,0,0
20250204,2025-02-04,2025,1,Q1 2025,2,February,2025-02,6,4,Tuesday,0,0
20250205,2025-02-05,2025,1,Q1 2025,2,February,2025-02,6,5,Wednesday,0,0
20250206,2025-02-06,2025,1,Q1 2025,2,February,2025-02,6,6,Thursday,0,0
20250207,2025-02-07,2025,1,Q1 2025,2,February,2025-02,6,7,Friday,0,0
20250208,2025-02-08,2025,1,Q1 2025,2,February,2025-02,6,8,Saturday,1,0
20250209,2025-02-09,2025,1,Q1 2025,2,February,2025-02,6,9,Sunday,1,0
20250210,2025-02-10,2025,1,Q1 2025,2,February,2025-02,7,10,Monday,0,0
20250211,2025-02-11,2025,1,Q1 2025,2,February,2025-02,7,11,Tuesday,0,0
20250212,2025-02-12,2025,1,Q1 2025,2,February,2025-02,7,12,Wednesday,0,0
20250213,2025-02-13,2025,1,Q1 2025,2,February,2025-02,7,13,Thursday,0,0
20250214,2025-02-14,2025,1,Q1 2025,2,February,2025-02,7,14,Friday,0,0
20250215,2025-02-15,2025,1,Q1 2025,2,February,2025-02,7,15,Saturday,1,0
20250216,2025-02-16,2025,1,Q1 2025,2,February,2025-02,7,16,Sunday,1,0
20250217,2025-02-17,2025,1,Q1 2025,2,February,2025-02,8,17,Monday,0,0
20250218,2025-02-18,2025,1,Q1 2025,2,February,2025-02,8,18,Tuesday,0,0
20250219,2025-02-19,2025,1,Q1 2025,2,February,2025-02,8,19,Wednesday,0,0
20250220,2025-02-20,2025,1,Q1 2025,2,February,2025-02,8,20,Thursday,0,0
20250221,2025-02-21,2025,1,Q1 2025,2,February,2025-02,8,21,Friday,0,0
20250222,2025-02-22,2025,1,Q1 2025,2,February,2025-02,8,22,Saturday,1,0
20250223,2025-02-23,2025,1,Q1 2025,2,February,2025-02,8,23,Sunday,1,0
20250224,2025-02-24,2025,1,Q1 2025,2,February,2025-02,9,24,Monday,0,0
20250225,2025-02-25,2025,1,Q1 2025,2,February,2025-02,9,25,Tuesday,0,0
20250226,2025-02-26,2025,1,Q1 2025,2,February,2025-02,9,26,Wednesday,0,0
20250227,2025-02-27,2025,1,Q1 2025,2,February,2025-02,9,27,Thursday,0,0
20250228,2025-02-28,2025,1,Q1 2025,2,February,2025-02,9,28,Friday,0,0
20250301,2025-03-01,2025,1,Q1 2025,3,March,2025-03,9,1,Saturday,1,0
20250302,2025-03-02,2025,1,Q1 2025,3,March,2025-03,9,2,Sunday,1,0
20250303,2025-03-03,2025,1,Q1 2025,3,March,2025-03,10,3,Monday,0,0
20250304,2025-03-04,2025,1,Q1 2025,3,March,2025-03,10,4,Tuesday,0,0
20250305,2025-03-05,2025,1,Q1 2025,3,March,2025-03,10,5,Wednesday,0,0
20250306,2025-03-06,2025,1,Q1 2025,3,March,2025-03,10,6,Thursday,0,0
20250307,2025-03-07,2025,1,Q1 2025,3,March,2025-03,10,7,Friday,0,0
20250308,2025-03-08,2025,1,Q1 2025,3,March,2025-03,10,8,Saturday,1,0
20250309,2025-03-09,2025,1,Q1 2025,3,March,2025-03,10,9,Sunday,1,0
20250310,2025-03-10,2025,1,Q1 2025,3,March,2025-03,11,10,Monday,0,0
20250311,2025-03-11,2025,1,Q1 2025,3,March,2025-03,11,11,Tuesday,0,0
20250312,2025-03-12,2025,1,Q1 2025,3,March,2025-03,11,12,Wednesday,0,0
20250313,2025-03-13,2025,1,Q1 2025,3,March,2025-03,11,13,Thursday,0,0
20250314,2025-03-14,2025,1,Q1 2025,3,March,2025-03,11,14,Friday,0,0
20250315,2025-03-15,2025,1,Q1 2025,3,March,2025-03,11,15,Saturday,1,0
20250316,2025-03-16,2025,1,Q1 2025,3,March,2025-03,11,16,Sunday,1,0
20250317,2025-03-17,2025,1,Q1 2025,3,March,2025-03,12,17,Monday,0,0
20250318,2025-03-18,2025,1,Q1 2025,3,March,2025-03,12,18,Tuesday,0,0
20250319,2025-03-19,2025,1,Q1 2025,3,March,2025-03,12,19,Wednesday,0,0
20250320,2025-03-20,2025,1,Q1 2025,3,March,2025-03,12,20,Thursday,0,0
20250321,2025-03-21,2025,1,Q1 2025,3,March,2025-03,12,21,Friday,0,0
20250322,2025-03-22,2025,1,Q1 2025,3,March,2025-03,12,22,Saturday,1,0
20250323,2025-03-23,2025,1,Q1 2025,3,March,2025-03,12,23,Sunday,1,0
20250324,2025-03-24,2025,1,Q1 2025,3,March,2025-03,13,24,Monday,0,0
20250325,2025-03-25,2025,1,Q1 2025,3,March,2025-03,13,25,Tuesday,0,0
20250326,2025-03-26,2025,1,Q1 2025,3,March,2025-03,13,26,Wednesday,0,0
20250327,2025-03-27,2025,1,Q1 2025,3,March,2025-03,13,27,Thursday,0,0
20250328,2025-03-28,2025,1,Q1 2025,3,March,2025-03,13,28,Friday,0,0
20250329,2025-03-29,2025,1,Q1 2025,3,March,2025-03,13,29,Saturday,1,0
20250330,2025-03-30,2025,1,Q1 2025,3,March,2025-03,13,30,Sunday,1,0
20250331,2025-03-31,2025,1,Q1 2025,3,March,2025-03,14,31,Monday,0,0
20250401,2025-04-01,2025,2,Q2 2025,4,April,2025-04,14,1,Tuesday,0,0
20250402,2025-04-02,2025,2,Q2 2025,4,April,2025-04,14,2,Wednesday,0,0
20250403,2025-04-03,2025,2,Q2 2025,4,April,2025-04,14,3,Thursday,0,0
20250404,2025-04-04,2025,2,Q2 2025,4,April,2025-04,14,4,Friday,0,0
20250405,2025-04-05,2025,2,Q2 2025,4,April,2025-04,14,5,Saturday,1,0
20250406,2025-04-06,2025,2,Q2 2025,4,April,2025-04,14,6,Sunday,1,0
20250407,2025-04-07,2025,2,Q2 2025,4,April,2025-04,15,7,Monday,0,0
20250408,2025-04-08,2025,2,Q2 2025,4,April,2025-04,15,8,Tuesday,0,0
20250409,2025-04-09,2025,2,Q2 2025,4,April,2025-04,15,9,Wednesday,0,0
20250410,2025-04-10,2025,2,Q2 2025,4,April,2025-04,15,10,Thursday,0,0
20250411,2025-04-11,2025,2,Q2 2025,4,April,2025-04,15,11,Friday,0,0
20250412,2025-04-12,2025,2,Q2 2025,4,April,2025-04,15,12,Saturday,1,0
20250413,2025-04-13,2025,2,Q2 2025,4,April,2025-04,15,13,Sunday,1,0
20250414,2025-04-14,2025,2,Q2 2025,4,April,2025-04,16,14,Monday,0,0
20250415,2025-04-15,2025,2,Q2 2025,4,April,2025-04,16,15,Tuesday,0,0
20250416,2025-04-16,2025,2,Q2 2025,4,April,2025-04,16,16,Wednesday,0,0
20250417,2025-04-17,2025,2,Q2 2025,4,April,2025-04,16,17,Thursday,0,0
20250418,2025-04-18,2025,2,Q2 2025,4,April,2025-04,16,18,Friday,0,0
20250419,2025-04-19,2025,2,Q2 2025,4,April,2025-04,16,19,Saturday,1,0
20250420,2025-04-20,2025,2,Q2 2025,4,April,2025-04,16,20,Sunday,1,0
20250421,2025-04-21,2025,2,Q2 2025,4,April,2025-04,17,21,Monday,0,0
