BalanceKey,AccountKey,CustomerKey,DateKey,SnapshotDate,Balance,AvailableBalance,CreditUtilization,CurrencyCode
1,1,1,20260620,2026-06-20,30294.07,30294.07,0.0,EUR
2,2,1,20260620,2026-06-20,-104621.73,0,0.0,AED
3,3,2,20260620,2026-06-20,-5863.73,4136.27,0.586,INR
4,4,2,20260620,2026-06-20,-249890.99,0,0.0,EUR
5,5,3,20260620,2026-06-20,-24167.04,25832.96,0.483,EUR
6,6,3,20260620,2026-06-20,-273329.4,0,0.0,AED
7,7,3,20260620,2026-06-20,3712.0,3712.0,0.0,GBP
8,8,4,20260620,2026-06-20,15250.92,15250.92,0.0,USD
9,9,4,20260620,2026-06-20,-176.77,49823.23,0.004,EUR
10,10,4,20260620,2026-06-20,7424.51,7424.51,0.0,SGD
11,11,5,20260620,2026-06-20,-38931.76,0,0.0,AED
12,12,5,20260620,2026-06-20,-957.3,1042.7,0.479,AED
13,13,6,20260620,2026-06-20,-699.17,49300.83,0.014,GBP
14,14,6,20260620,2026-06-20,474828.06,474828.06,0.0,USD
15,15,6,20260620,2026-06-20,33088.17,33088.17,0.0,USD
16,16,7,20260620,2026-06-20,-229898.72,0,0.0,EUR
17,17,7,20260620,2026-06-20,28034.95,28034.95,0.0,USD
18,18,8,20260620,2026-06-20,3431.13,3431.13,0.0,SGD
19,19,8,20260620,2026-06-20,-36.73,1963.27,0.018,SGD
20,20,8,20260620,2026-06-20,16141.6,16141.6,0.0,USD
21,21,9,20260620,2026-06-20,-5435.53,4564.47,0.544,EUR
22,22,9,20260620,2026-06-20,4417.18,4417.18,0.0,INR
23,23,9,20260620,2026-06-20,-153890.79,0,0.0,USD
24,24,9,20260620,2026-06-20,16354.88,16354.88,0.0,USD
25,25,10,20260620,2026-06-20,44287.38,44287.38,0.0,USD
26,26,10,20260620,2026-06-20,33474.18,33474.18,0.0,SGD
27,27,10,20260620,2026-06-20,-15567.47,0,0.0,SGD
28,28,11,20260620,2026-06-20,38302.88,38302.88,0.0,SGD
29,29,12,20260620,2026-06-20,4984.05,4984.05,0.0,USD
30,30,12,20260620,2026-06-20,30526.59,30526.59,0.0,USD
31,31,13,20260620,2026-06-20,-173516.87,0,0.0,EUR
32,32,14,20260620,2026-06-20,-637.79,1362.21,0.319,AED
33,33,14,20260620,2026-06-20,9757.53,9757.53,0.0,USD
34,34,14,20260620,2026-06-20,213052.47,213052.47,0.0,AED
35,35,14,20260620,2026-06-20,33931.05,33931.05,0.0,AED
36,36,15,20260620,2026-06-20,-2143.04,12856.96,0.143,USD
37,37,15,20260620,2026-06-20,19218.78,19218.78,0.0,INR
38,38,15,20260620,2026-06-20,-8487.74,16512.26,0.34,GBP
39,39,16,20260620,2026-06-20,-28492.54,21507.46,0.57,EUR
40,40,16,20260620,2026-06-20,447481.5,447481.5,0.0,USD
41,41,16,20260620,2026-06-20,42364.54,42364.54,0.0,INR
42,42,17,20260620,2026-06-20,-86143.88,0,0.0,SGD
43,43,18,20260620,2026-06-20,40698.98,40698.98,0.0,USD
44,44,18,20260620,2026-06-20,-44.58,1955.42,0.022,GBP
45,45,19,20260620,2026-06-20,-162107.48,0,0.0,INR
46,46,20,20260620,2026-06-20,-21.42,1978.58,0.011,AED
47,47,20,20260620,2026-06-20,20420.03,20420.03,0.0,USD
48,48,21,20260620,2026-06-20,7718.48,7718.48,0.0,USD
49,49,21,20260620,2026-06-20,-235642.93,0,0.0,GBP
50,50,22,20260620,2026-06-20,29465.9,29465.9,0.0,AED
51,51,23,20260620,2026-06-20,13299.52,13299.52,0.0,AED
52,52,23,20260620,2026-06-20,-293240.44,0,0.0,USD
53,53,23,20260620,2026-06-20,-202875.74,0,0.0,USD
54,54,23,20260620,2026-06-20,-285184.48,0,0.0,GBP
55,55,24,20260620,2026-06-20,-6713.71,8286.29,0.448,AED
56,56,24,20260620,2026-06-20,32642.13,32642.13,0.0,INR
57,57,25,20260620,2026-06-20,-964.51,9035.49,0.096,USD
58,58,25,20260620,2026-06-20,362383.17,362383.17,0.0,USD
59,59,26,20260620,2026-06-20,-317808.91,0,0.0,INR
60,60,26,20260620,2026-06-20,37480.34,37480.34,0.0,AED
61,61,26,20260620,2026-06-20,-517.79,4482.21,0.104,AED
62,62,27,20260620,2026-06-20,-272326.89,0,0.0,SGD
63,63,28,20260620,2026-06-20,37165.05,37165.05,0.0,AED
64,64,28,20260620,2026-06-20,30824.92,30824.92,0.0,INR
65,65,28,20260620,2026-06-20,-1595.26,3404.74,0.319,EUR
66,66,29,20260620,2026-06-20,-199196.63,0,0.0,INR
67,67,29,20260620,2026-06-20,-1934.41,3065.59,0.387,AED
68,68,29,20260620,2026-06-20,-143077.33,0,0.0,GBP
69,69,30,20260620,2026-06-20,18398.7,18398.7,0.0,SGD
70,70,31,20260620,2026-06-20,-62179.22,0,0.0,USD
71,71,31,20260620,2026-06-20,256205.98,256205.98,0.0,SGD
72,72,32,20260620,2026-06-20,4304.13,4304.13,0.0,INR
73,73,33,20260620,2026-06-20,-197215.78,0,0.0,USD
74,74,33,20260620,2026-06-20,-299832.19,0,0.0,AED
75,75,34,20260620,2026-06-20,-13272.88,0,0.0,AED
76,76,35,20260620,2026-06-20,10827.64,10827.64,0.0,USD
77,77,35,20260620,2026-06-20,-6614.2,18385.8,0.265,AED
78,78,35,20260620,2026-06-20,-276161.05,0,0.0,GBP
79,79,36,20260620,2026-06-20,43919.94,43919.94,0.0,USD
80,80,37,20260620,2026-06-20,-2105.59,12894.41,0.14,USD
81,81,38,20260620,2026-06-20,-5438.54,4561.46,0.544,GBP
82,82,38,20260620,2026-06-20,-343741.61,0,0.0,EUR
83,83,39,20260620,2026-06-20,29703.44,29703.44,0.0,GBP
84,84,40,20260620,2026-06-20,-174405.17,0,0.0,EUR
85,85,41,20260620,2026-06-20,12455.03,12455.03,0.0,AED
86,86,42,20260620,2026-06-20,-13641.04,11358.96,0.546,AED
87,87,43,20260620,2026-06-20,12703.28,12703.28,0.0,INR
88,88,43,20260620,2026-06-20,-21158.88,28841.12,0.423,AED
89,89,44,20260620,2026-06-20,-298440.49,0,0.0,GBP
90,90,45,20260620,2026-06-20,18758.87,18758.87,0.0,GBP
91,91,45,20260620,2026-06-20,30656.92,30656.92,0.0,INR
92,92,46,20260620,2026-06-20,44725.67,44725.67,0.0,AED
93,93,46,20260620,2026-06-20,-310788.03,0,0.0,GBP
94,94,46,20260620,2026-06-20,356822.28,356822.28,0.0,USD
95,95,46,20260620,2026-06-20,-155498.68,0,0.0,USD
96,96,47,20260620,2026-06-20,-259399.57,0,0.0,AED
97,97,48,20260620,2026-06-20,322330.73,322330.73,0.0,USD
98,98,48,20260620,2026-06-20,-202934.72,0,0.0,USD
99,99,49,20260620,2026-06-20,-643.92,1356.08,0.322,INR
100,100,50,20260620,2026-06-20,-31701.67,0,0.0,USD
101,101,50,20260620,2026-06-20,13555.5,13555.5,0.0,EUR
102,102,50,20260620,2026-06-20,5536.87,5536.87,0.0,GBP
103,103,51,20260620,2026-06-20,-58720.6,0,0.0,AED
104,104,52,20260620,2026-06-20,40829.89,40829.89,0.0,AED
105,105,53,20260620,2026-06-20,34206.64,34206.64,0.0,USD
106,106,53,20260620,2026-06-20,-13294.06,0,0.0,USD
107,107,53,20260620,2026-06-20,-225797.08,0,0.0,GBP
108,108,54,20260620,2026-06-20,4347.53,4347.53,0.0,USD
109,109,54,20260620,2026-06-20,13785.34,13785.34,0.0,AED
110,110,55,20260620,2026-06-20,-297271.63,0,0.0,EUR
111,111,55,20260620,2026-06-20,-522.91,1477.09,0.261,USD
112,112,55,20260620,2026-06-20,19285.58,19285.58,0.0,USD
113,113,56,20260620,2026-06-20,-179819.53,0,0.0,USD
114,114,56,20260620,2026-06-20,12074.82,12074.82,0.0,GBP
115,115,57,20260620,2026-06-20,-271967.76,0,0.0,USD
116,116,57,20260620,2026-06-20,36791.86,36791.86,0.0,INR
117,117,58,20260620,2026-06-20,21029.2,21029.2,0.0,SGD
118,118,58,20260620,2026-06-20,35654.44,35654.44,0.0,SGD
119,119,59,20260620,2026-06-20,194553.4,194553.4,0.0,EUR
120,120,59,20260620,2026-06-20,-28232.51,0,0.0,EUR
121,121,60,20260620,2026-06-20,-37290.14,0,0.0,AED
122,122,60,20260620,2026-06-20,128665.61,128665.61,0.0,INR
123,123,61,20260620,2026-06-20,-2800.03,7199.97,0.28,USD
124,124,62,20260620,2026-06-20,34617.73,34617.73,0.0,USD
125,125,62,20260620,2026-06-20,-284804.79,0,0.0,GBP
