SnapshotKey,BranchKey,DateKey,SnapshotDate,TransactionVolume,TransactionValueUsd,NewAccountsOpened,FraudCasesCaught,CustomerSatScore
1,1,20260620,2026-06-20,125,45420.93,1,3,4.2
2,2,20260620,2026-06-20,170,53475.28,5,3,4.6
3,3,20260620,2026-06-20,118,40498.17,5,2,4.2
4,4,20260620,2026-06-20,139,27416.55,2,2,3.7
5,5,20260620,2026-06-20,164,64884.7,6,3,4.5
6,6,20260620,2026-06-20,136,49215.95,5,1,4.8
7,7,20260620,2026-06-20,161,59322.69,2,2,4.6
8,8,20260620,2026-06-20,109,36637.75,4,0,4.3
9,9,20260620,2026-06-20,148,49203.12,2,1,4.3
10,10,20260620,2026-06-20,135,62021.78,3,1,4.1
11,11,20260620,2026-06-20,99,31960.21,4,0,3.7
12,12,20260620,2026-06-20,113,40068.23,2,3,4.3
13,13,20260620,2026-06-20,105,46712.94,3,2,4.5
14,14,20260620,2026-06-20,111,28848.6,4,1,3.6
15,15,20260620,2026-06-20,37,14486.63,0,3,3.6
16,16,20260620,2026-06-20,51,20842.95,1,3,4.8
17,17,20260620,2026-06-20,69,19183.94,0,3,4.8
18,18,20260620,2026-06-20,69,22232.95,1,1,4.1
19,1,20260619,2026-06-19,251,84127.97,4,2,4.9
20,2,20260619,2026-06-19,175,56009.06,1,2,4.5
21,3,20260619,2026-06-19,160,41584.08,5,1,4.7
22,4,20260619,2026-06-19,167,60693.71,5,2,4.7
23,5,20260619,2026-06-19,225,91767.55,3,2,3.6
24,6,20260619,2026-06-19,237,94131.0,1,3,4.8
25,7,20260619,2026-06-19,188,53209.35,5,0,4.6
26,8,20260619,2026-06-19,215,74138.2,4,1,4.0
27,9,20260619,2026-06-19,200,83440.23,4,3,4.6
28,10,20260619,2026-06-19,186,58847.73,4,0,4.6
29,11,20260619,2026-06-19,175,61608.27,5,2,4.3
30,12,20260619,2026-06-19,285,136431.61,1,2,3.7
31,13,20260619,2026-06-19,218,84064.38,3,1,4.9
32,14,20260619,2026-06-19,163,61153.08,3,2,3.7
33,15,20260619,2026-06-19,105,49030.97,1,3,4.8
34,16,20260619,2026-06-19,105,22465.86,0,2,4.1
35,17,20260619,2026-06-19,98,28950.82,0,1,4.5
36,18,20260619,2026-06-19,112,25089.84,1,3,4.7
37,1,20260618,2026-06-18,155,68038.91,5,1,4.3
38,2,20260618,2026-06-18,211,99028.94,5,3,4.9
39,3,20260618,2026-06-18,154,34741.41,4,0,4.7
40,4,20260618,2026-06-18,268,102749.05,1,1,4.7
41,5,20260618,2026-06-18,185,28744.43,2,2,3.7
42,6,20260618,2026-06-18,193,34416.82,6,2,4.1
43,7,20260618,2026-06-18,281,66678.56,1,0,4.2
44,8,20260618,2026-06-18,164,31254.94,4,2,4.5
45,9,20260618,2026-06-18,251,69767.12,6,3,3.9
46,10,20260618,2026-06-18,282,129325.1,3,1,4.2
47,11,20260618,2026-06-18,192,82342.73,2,2,3.9
48,12,20260618,2026-06-18,242,35273.16,1,2,4.8
49,13,20260618,2026-06-18,242,47439.84,1,1,4.6
50,14,20260618,2026-06-18,270,124624.63,0,0,4.7
51,15,20260618,2026-06-18,102,41068.86,0,3,4.5
52,16,20260618,2026-06-18,111,18013.72,0,1,3.9
53,17,20260618,2026-06-18,110,38386.84,1,0,4.1
54,18,20260618,2026-06-18,66,27471.76,1,3,4.8
55,1,20260617,2026-06-17,176,34226.14,5,1,4.7
56,2,20260617,2026-06-17,184,71357.73,1,1,3.9
57,3,20260617,2026-06-17,226,97460.45,0,2,4.2
58,4,20260617,2026-06-17,211,62207.76,3,0,3.6
59,5,20260617,2026-06-17,271,62367.27,6,2,4.2
60,6,20260617,2026-06-17,276,122032.91,3,2,3.8
61,7,20260617,2026-06-17,164,24562.11,4,1,4.8
62,8,20260617,2026-06-17,180,72176.78,4,1,4.7
63,9,20260617,2026-06-17,209,37791.65,4,3,4.2
64,10,20260617,2026-06-17,240,58074.11,0,1,4.1
65,11,20260617,2026-06-17,213,97289.56,2,2,4.2
66,12,20260617,2026-06-17,283,58423.64,2,1,4.5
67,13,20260617,2026-06-17,199,32921.93,6,3,4.1
68,14,20260617,2026-06-17,249,102798.27,1,1,4.4
69,15,20260617,2026-06-17,105,17733.33,1,1,4.5
70,16,20260617,2026-06-17,92,38174.95,0,1,4.4
71,17,20260617,2026-06-17,115,24064.48,1,0,3.9
72,18,20260617,2026-06-17,70,17257.91,1,3,4.6
73,1,20260616,2026-06-16,163,69035.42,2,3,4.0
74,2,20260616,2026-06-16,254,98709.62,0,1,4.6
75,3,20260616,2026-06-16,164,50255.94,0,2,4.8
76,4,20260616,2026-06-16,212,66929.45,0,1,4.2
77,5,20260616,2026-06-16,233,75986.78,4,1,3.9
78,6,20260616,2026-06-16,247,53822.91,2,2,4.1
79,7,20260616,2026-06-16,223,96298.5,4,0,4.6
80,8,20260616,2026-06-16,157,65656.68,6,0,4.7
81,9,20260616,2026-06-16,208,43347.44,2,0,4.7
82,10,20260616,2026-06-16,274,54514.11,0,3,4.3
83,11,20260616,2026-06-16,201,88972.07,0,0,4.7
84,12,20260616,2026-06-16,222,79900.63,5,2,4.0
85,13,20260616,2026-06-16,219,35702.5,4,0,3.8
86,14,20260616,2026-06-16,196,89509.42,5,1,4.5
87,15,20260616,2026-06-16,95,14211.88,1,3,3.9
88,16,20260616,2026-06-16,104,37122.85,1,3,4.7
89,17,20260616,2026-06-16,75,34514.22,1,0,4.3
90,18,20260616,2026-06-16,95,23851.47,0,0,4.8
91,1,20260615,2026-06-15,236,94303.7,4,1,4.8
92,2,20260615,2026-06-15,281,73573.78,3,0,4.2
93,3,20260615,2026-06-15,269,92591.12,6,1,4.6
94,4,20260615,2026-06-15,170,72507.58,1,1,3.8
95,5,20260615,2026-06-15,164,30563.41,1,3,3.6
96,6,20260615,2026-06-15,281,124713.99,3,2,4.7
97,7,20260615,2026-06-15,229,67271.56,4,3,4.7
98,8,20260615,2026-06-15,249,63172.12,1,2,4.3
99,9,20260615,2026-06-15,239,83731.28,0,1,4.1
100,10,20260615,2026-06-15,276,83020.43,1,0,3.9
101,11,20260615,2026-06-15,280,117506.77,0,0,4.6
102,12,20260615,2026-06-15,261,83428.97,4,3,3.8
103,13,20260615,2026-06-15,244,87724.71,1,2,3.8
104,14,20260615,2026-06-15,255,114694.86,4,2,4.6
105,15,20260615,2026-06-15,84,40226.37,0,1,3.6
106,16,20260615,2026-06-15,108,13548.16,1,1,4.6
107,17,20260615,2026-06-15,87,32015.16,0,2,4.0
108,18,20260615,2026-06-15,67,15793.58,0,0,3.7
109,1,20260614,2026-06-14,145,35106.76,1,3,4.8
110,2,20260614,2026-06-14,160,62741.47,3,0,3.8
111,3,20260614,2026-06-14,128,25484.18,5,0,3.8
112,4,20260614,2026-06-14,130,28817.5,3,1,4.7
113,5,20260614,2026-06-14,115,51797.77,2,0,4.6
114,6,20260614,2026-06-14,155,72507.3,6,0,4.7
115,7,20260614,2026-06-14,137,60005.78,3,3,3.7
116,8,20260614,2026-06-14,171,27882.96,5,3,4.0
117,9,20260614,2026-06-14,93,43352.41,1,1,4.6
118,10,20260614,2026-06-14,109,37319.47,4,0,4.2
119,11,20260614,2026-06-14,123,57758.21,3,3,4.4
120,12,20260614,2026-06-14,140,26173.57,3,1,4.2
121,13,20260614,2026-06-14,160,31333.67,3,2,3.9
122,14,20260614,2026-06-14,117,23504.77,0,3,4.2
123,15,20260614,2026-06-14,67,8847.43,0,3,4.5
124,16,20260614,2026-06-14,40,11489.01,0,0,4.9
125,17,20260614,2026-06-14,58,20058.91,0,3,3.9
126,18,20260614,2026-06-14,38,9093.08,1,2,4.3
127,1,20260613,2026-06-13,96,32609.07,1,3,4.4
128,2,20260613,2026-06-13,142,43047.67,0,2,4.3
129,3,20260613,2026-06-13,97,44508.79,5,0,4.4
130,4,20260613,2026-06-13,140,46301.99,4,2,4.5
131,5,20260613,2026-06-13,113,41036.15,4,0,4.8
132,6,20260613,2026-06-13,132,48143.6,0,2,4.3
133,7,20260613,2026-06-13,159,49148.41,2,3,3.8
134,8,20260613,2026-06-13,152,26376.9,5,2,4.3
135,9,20260613,2026-06-13,170,33502.77,5,3,4.4
136,10,20260613,2026-06-13,126,19231.47,6,1,4.5
137,11,20260613,2026-06-13,138,19988.22,1,2,4.5
138,12,20260613,2026-06-13,158,26419.91,5,3,4.7
139,13,20260613,2026-06-13,163,48921.03,0,2,4.7
140,14,20260613,2026-06-13,132,60130.44,2,3,4.5
141,15,20260613,2026-06-13,62,22396.81,0,1,4.6
142,16,20260613,2026-06-13,52,6710.02,1,2,3.9
143,17,20260613,2026-06-13,67,20567.12,1,3,4.0
144,18,20260613,2026-06-13,58,12773.11,1,1,4.5
145,1,20260612,2026-06-12,213,34104.21,0,1,4.7
146,2,20260612,2026-06-12,220,80947.94,5,1,4.8
147,3,20260612,2026-06-12,162,27242.59,4,2,3.9
148,4,20260612,2026-06-12,234,42104.69,2,2,3.6
149,5,20260612,2026-06-12,246,83820.37,4,2,3.7
150,6,20260612,2026-06-12,163,76088.88,0,2,4.5
151,7,20260612,2026-06-12,267,111864.85,6,3,4.0
152,8,20260612,2026-06-12,282,37546.65,3,2,3.8
153,9,20260612,2026-06-12,208,78251.14,5,2,4.2
154,10,20260612,2026-06-12,229,65205.75,4,1,4.7
155,11,20260612,2026-06-12,174,40153.77,3,0,4.5
156,12,20260612,2026-06-12,218,78300.47,1,1,4.6
157,13,20260612,2026-06-12,245,51459.78,4,2,4.5
158,14,20260612,2026-06-12,158,44664.7,3,1,3.9
159,15,20260612,2026-06-12,109,16697.77,0,3,3.7
160,16,20260612,2026-06-12,93,36681.54,1,2,4.0
161,17,20260612,2026-06-12,72,31478.64,1,3,3.8
162,18,20260612,2026-06-12,97,28340.08,0,1,4.5
163,1,20260611,2026-06-11,198,58179.3,0,0,4.0
164,2,20260611,2026-06-11,239,33426.07,2,2,4.7
165,3,20260611,2026-06-11,156,50794.78,6,3,3.6
166,4,20260611,2026-06-11,172,24697.44,5,1,4.5
167,5,20260611,2026-06-11,202,42210.89,6,1,4.2
168,6,20260611,2026-06-11,285,86831.82,3,1,4.6
169,7,20260611,2026-06-11,156,21897.04,3,0,4.6
170,8,20260611,2026-06-11,280,34657.23,0,1,3.8
171,9,20260611,2026-06-11,184,71592.87,4,1,4.5
172,10,20260611,2026-06-11,162,38601.74,2,2,4.4
173,11,20260611,2026-06-11,224,97277.74,1,2,4.5
174,12,20260611,2026-06-11,158,20370.12,0,1,4.5
175,13,20260611,2026-06-11,159,75238.93,4,0,3.6
176,14,20260611,2026-06-11,278,102696.03,3,1,4.7
177,15,20260611,2026-06-11,105,41010.51,0,2,4.7
178,16,20260611,2026-06-11,95,28747.01,0,1,4.0
179,17,20260611,2026-06-11,95,36027.36,1,3,4.0
180,18,20260611,2026-06-11,90,27540.93,1,2,4.6
181,1,20260610,2026-06-10,168,68226.41,2,1,3.6
182,2,20260610,2026-06-10,236,85525.39,1,1,3.6
183,3,20260610,2026-06-10,276,98055.36,6,1,4.2
184,4,20260610,2026-06-10,282,131161.77,5,1,4.1
185,5,20260610,2026-06-10,280,48581.62,0,1,4.4
186,6,20260610,2026-06-10,277,71679.62,1,1,3.7
187,7,20260610,2026-06-10,199,82519.42,0,1,4.2
188,8,20260610,2026-06-10,199,47143.28,4,1,4.1
189,9,20260610,2026-06-10,206,29299.75,0,0,4.0
190,10,20260610,2026-06-10,240,108009.63,4,3,4.0
191,11,20260610,2026-06-10,162,42620.06,5,3,4.4
192,12,20260610,2026-06-10,217,72719.18,2,1,4.0
193,13,20260610,2026-06-10,172,80328.07,1,2,4.3
194,14,20260610,2026-06-10,239,101347.24,3,1,3.8
195,15,20260610,2026-06-10,106,48920.56,0,3,3.8
196,16,20260610,2026-06-10,80,10955.35,1,1,4.1
197,17,20260610,2026-06-10,76,23001.65,0,0,3.7
198,18,20260610,2026-06-10,96,26837.31,1,2,4.3
199,1,20260609,2026-06-09,185,25664.77,0,2,3.7
200,2,20260609,2026-06-09,226,34760.04,0,2,4.5
201,3,20260609,2026-06-09,246,44258.92,6,1,4.2
202,4,20260609,2026-06-09,250,89906.19,2,1,4.2
203,5,20260609,2026-06-09,264,58380.73,4,3,4.3
204,6,20260609,2026-06-09,247,98416.79,6,1,4.7
205,7,20260609,2026-06-09,194,82520.71,4,2,4.1
206,8,20260609,2026-06-09,185,69704.68,2,0,4.9
207,9,20260609,2026-06-09,230,83938.92,2,2,4.7
208,10,20260609,2026-06-09,209,65635.15,4,0,4.2
209,11,20260609,2026-06-09,155,34993.92,6,2,4.2
210,12,20260609,2026-06-09,247,108986.64,6,3,4.5
211,13,20260609,2026-06-09,170,57395.86,2,1,4.0
212,14,20260609,2026-06-09,157,72241.59,0,2,4.3
213,15,20260609,2026-06-09,68,10546.8,1,0,4.2
214,16,20260609,2026-06-09,88,22666.87,0,3,4.0
215,17,20260609,2026-06-09,102,22990.75,0,1,4.3
216,18,20260609,2026-06-09,77,36684.86,1,1,4.3
217,1,20260608,2026-06-08,234,55730.17,1,1,4.5
218,2,20260608,2026-06-08,204,75249.22,5,2,3.7
219,3,20260608,2026-06-08,223,85756.62,2,3,4.2
220,4,20260608,2026-06-08,210,56555.44,6,3,4.5
221,5,20260608,2026-06-08,207,92390.95,1,3,4.6
222,6,20260608,2026-06-08,227,42369.92,2,1,4.3
223,7,20260608,2026-06-08,227,91480.6,2,1,4.6
224,8,20260608,2026-06-08,253,113145.84,5,2,4.1
225,9,20260608,2026-06-08,215,77346.52,3,0,4.7
226,10,20260608,2026-06-08,273,119289.23,6,3,3.6
227,11,20260608,2026-06-08,160,19388.13,6,1,4.9
228,12,20260608,2026-06-08,229,93494.8,1,0,4.8
229,13,20260608,2026-06-08,198,90535.28,1,3,3.7
230,14,20260608,2026-06-08,226,92745.95,2,1,4.8
231,15,20260608,2026-06-08,99,43750.71,0,3,4.1
232,16,20260608,2026-06-08,90,16543.74,0,3,4.4
233,17,20260608,2026-06-08,103,25956.19,0,3,3.6
234,18,20260608,2026-06-08,73,28816.15,0,3,4.5
235,1,20260607,2026-06-07,98,46772.24,0,3,3.9
236,2,20260607,2026-06-07,129,39993.31,5,1,4.6
237,3,20260607,2026-06-07,103,32662.42,2,0,4.5
238,4,20260607,2026-06-07,168,67979.83,3,1,4.8
239,5,20260607,2026-06-07,113,37204.79,6,3,3.7
240,6,20260607,2026-06-07,141,39710.88,2,0,4.5
241,7,20260607,2026-06-07,127,27276.78,0,1,3.8
242,8,20260607,2026-06-07,129,22929.25,1,1,3.9
243,9,20260607,2026-06-07,129,54508.96,2,2,4.9
244,10,20260607,2026-06-07,167,59334.75,2,1,4.0
245,11,20260607,2026-06-07,118,41050.43,3,0,4.0
246,12,20260607,2026-06-07,124,34280.8,0,2,4.7
247,13,20260607,2026-06-07,124,52212.48,2,3,4.5
248,14,20260607,2026-06-07,168,71690.88,1,3,3.8
249,15,20260607,2026-06-07,70,22930.99,1,1,4.9
250,16,20260607,2026-06-07,65,23798.9,1,3,4.0
251,17,20260607,2026-06-07,57,20069.41,0,0,4.9
252,18,20260607,2026-06-07,47,13107.26,0,0,3.8
253,1,20260606,2026-06-06,114,14688.89,6,2,4.8
254,2,20260606,2026-06-06,145,51243.17,5,0,4.1
255,3,20260606,2026-06-06,137,51490.42,2,0,4.9
256,4,20260606,2026-06-06,150,30790.32,3,3,4.5
257,5,20260606,2026-06-06,122,41129.81,2,0,4.2
258,6,20260606,2026-06-06,169,24521.88,3,3,3.8
259,7,20260606,2026-06-06,171,44497.26,3,3,4.6
260,8,20260606,2026-06-06,168,59158.36,5,3,4.1
261,9,20260606,2026-06-06,149,19381.73,3,1,4.4
262,10,20260606,2026-06-06,98,12693.5,1,3,4.0
263,11,20260606,2026-06-06,96,28140.27,2,1,4.6
264,12,20260606,2026-06-06,134,22696.36,3,0,4.3
265,13,20260606,2026-06-06,147,61878.52,1,1,4.2
266,14,20260606,2026-06-06,153,46858.98,4,0,4.5
267,15,20260606,2026-06-06,52,6586.72,0,0,4.8
268,16,20260606,2026-06-06,66,14081.44,0,2,4.9
269,17,20260606,2026-06-06,39,17106.04,1,2,4.4
270,18,20260606,2026-06-06,56,6920.81,1,0,4.0
271,1,20260605,2026-06-05,246,44128.75,3,3,3.9
272,2,20260605,2026-06-05,190,90612.63,5,2,3.7
273,3,20260605,2026-06-05,207,54796.3,6,3,4.2
274,4,20260605,2026-06-05,200,53753.03,4,0,3.7
275,5,20260605,2026-06-05,204,57300.34,3,2,3.9
276,6,20260605,2026-06-05,284,93890.52,6,2,3.7
277,7,20260605,2026-06-05,194,45420.29,6,3,4.1
278,8,20260605,2026-06-05,161,65408.38,1,0,4.8
279,9,20260605,2026-06-05,251,113262.81,3,3,3.8
280,10,20260605,2026-06-05,251,99516.44,0,3,4.6
281,11,20260605,2026-06-05,230,62407.87,5,0,4.8
282,12,20260605,2026-06-05,188,86623.8,0,2,3.7
283,13,20260605,2026-06-05,186,34627.37,0,2,3.9
