SnapshotKey,CustomerKey,DateKey,SnapshotDate,AccountsHeld,TotalBalanceUsd,MtdTransactions,MtdSpendUsd,CreditScore,RiskBand,ChurnScore
1,1,20260620,2026-06-20,2,-79152.51,2,14619.26,665,High,0.191
2,2,20260620,2026-06-20,2,-242935.64,3,248.65,555,Medium,0.081
3,3,20260620,2026-06-20,3,-280528.5,4,24545.22,754,Low,0.244
4,4,20260620,2026-06-20,3,22940.96,4,12728.46,619,Low,0.242
5,5,20260620,2026-06-20,2,-39347.71,2,721.1,562,Medium,0.776
6,6,20260620,2026-06-20,3,481112.25,6,32587.43,835,High,0.219
7,7,20260620,2026-06-20,2,-212730.33,0,0.0,734,Low,0.332
8,8,20260620,2026-06-20,3,18541.47,3,7977.59,627,Medium,0.587
9,9,20260620,2026-06-20,4,-128452.48,2,8915.89,652,Low,0.636
10,10,20260620,2026-06-20,3,62403.77,5,12068.98,648,Low,0.99
11,11,20260620,2026-06-20,1,36883.55,0,0.0,675,Medium,0.134
12,12,20260620,2026-06-20,2,33848.43,2,7556.22,652,Medium,0.99
13,13,20260620,2026-06-20,1,-182089.24,0,0.0,756,Medium,0.638
14,14,20260620,2026-06-20,4,257284.75,4,7223.19,814,Low,0.649
15,15,20260620,2026-06-20,3,8151.01,6,13203.98,796,High,0.763
16,16,20260620,2026-06-20,3,439894.72,4,12482.0,731,Low,0.796
17,17,20260620,2026-06-20,1,-81415.75,0,0.0,662,Low,0.063
18,18,20260620,2026-06-20,2,38279.51,5,20603.11,605,Low,0.676
19,19,20260620,2026-06-20,1,-160417.17,0,0.0,699,Low,0.452
20,20,20260620,2026-06-20,2,20314.32,4,20933.22,572,Low,0.404
21,21,20260620,2026-06-20,2,-226894.38,0,0.0,657,Low,0.067
22,22,20260620,2026-06-20,1,29425.3,2,3546.52,607,Medium,0.693
23,23,20260620,2026-06-20,4,-798553.03,3,4277.0,588,Medium,0.11
24,24,20260620,2026-06-20,2,24567.97,4,1632.76,571,Low,0.333
25,25,20260620,2026-06-20,2,364636.64,2,11983.85,682,Medium,0.471
26,26,20260620,2026-06-20,3,-297430.04,2,2057.96,547,Low,0.99
27,27,20260620,2026-06-20,1,-273343.1,0,0.0,734,Medium,0.002
28,28,20260620,2026-06-20,3,67293.48,7,34694.73,619,Medium,0.227
29,29,20260620,2026-06-20,3,-337193.18,1,2523.22,839,Low,0.538
30,30,20260620,2026-06-20,1,17785.26,0,0.0,574,Low,0.593
31,31,20260620,2026-06-20,2,205769.96,0,0.0,581,Medium,0.443
32,32,20260620,2026-06-20,1,4152.1,0,0.0,662,High,0.315
33,33,20260620,2026-06-20,2,-511852.38,0,0.0,774,Low,0.648
34,34,20260620,2026-06-20,1,-13804.39,0,0.0,665,Medium,0.439
35,35,20260620,2026-06-20,3,-255752.47,4,10587.17,544,High,0.771
36,36,20260620,2026-06-20,1,43150.85,2,9962.04,823,Low,0.152
37,37,20260620,2026-06-20,1,-2178.67,1,9321.46,790,Low,0.212
38,38,20260620,2026-06-20,2,-343647.49,2,5347.19,606,High,0.564
39,39,20260620,2026-06-20,1,28862.5,2,6974.53,578,Medium,0.861
40,40,20260620,2026-06-20,1,-178272.62,0,0.0,605,Low,0.04
41,41,20260620,2026-06-20,1,11871.12,0,0.0,748,Low,0.99
42,42,20260620,2026-06-20,1,-13597.98,3,5855.89,552,Medium,0.214
43,43,20260620,2026-06-20,2,-7894.16,3,2669.27,621,Low,0.644
44,44,20260620,2026-06-20,1,-297677.29,0,0.0,696,Low,0.904
45,45,20260620,2026-06-20,2,51157.3,3,237.79,682,High,0.311
46,46,20260620,2026-06-20,4,-99203.92,1,2393.93,631,Low,0.562
47,47,20260620,2026-06-20,1,-264801.78,0,0.0,801,Low,0.123
48,48,20260620,2026-06-20,2,119486.58,0,0.0,640,Low,0.332
49,49,20260620,2026-06-20,1,-634.84,3,123.8,799,Medium,0.305
50,50,20260620,2026-06-20,3,-11246.6,2,10853.14,629,Medium,0.685
51,51,20260620,2026-06-20,1,-57200.94,0,0.0,778,Medium,0.485
52,52,20260620,2026-06-20,1,40661.52,2,3229.51,583,Medium,0.313
53,53,20260620,2026-06-20,3,-197632.68,1,7355.04,655,Low,0.96
54,54,20260620,2026-06-20,2,17551.03,3,7428.3,752,High,0.858
55,55,20260620,2026-06-20,3,-288539.68,5,19241.37,594,High,0.725
56,56,20260620,2026-06-20,2,-176832.57,2,14475.19,608,Medium,0.653
57,57,20260620,2026-06-20,2,-242162.32,2,277.72,758,Low,0.853
58,58,20260620,2026-06-20,2,59452.11,5,8259.43,806,Medium,0.574
59,59,20260620,2026-06-20,2,157865.39,0,0.0,816,Medium,0.068
60,60,20260620,2026-06-20,2,90531.0,0,0.0,709,Low,0.614
61,61,20260620,2026-06-20,1,-2765.47,2,30484.96,834,Low,0.382
62,62,20260620,2026-06-20,2,-237269.73,3,10610.23,819,Medium,0.8
63,63,20260620,2026-06-20,2,41177.02,1,19209.56,747,Low,0.813
64,64,20260620,2026-06-20,1,38420.5,2,26.71,582,Low,0.573
65,65,20260620,2026-06-20,2,-241669.94,2,10271.65,712,Medium,0.793
66,66,20260620,2026-06-20,3,-202107.77,3,14121.5,566,High,0.906
67,67,20260620,2026-06-20,2,23113.58,0,0.0,642,Low,0.762
68,68,20260620,2026-06-20,2,-143264.29,3,26437.66,671,Medium,0.792
69,69,20260620,2026-06-20,3,212165.57,0,0.0,595,Medium,0.529
70,70,20260620,2026-06-20,1,32496.86,2,4618.84,578,Low,0.641
71,71,20260620,2026-06-20,1,-99992.25,0,0.0,829,Medium,0.68
72,72,20260620,2026-06-20,2,4043.31,0,0.0,755,Low,0.781
