TransactionKey,TransactionId,TransactionTs,DateKey,TimeOfDay,CustomerKey,AccountKey,CardKey,MerchantKey,ChannelKey,CurrencyKey,TransactionType,Amount,CurrencyCode,AmountUsd,Status,FraudScore,IsFraud,MerchantCountry,MerchantLatitude,MerchantLongitude,IsInternational
1,TXN00000001,2025-06-07T23:25:48Z,20250607,23:25:48,190,370,188,20,6,1,Wire,49595.1,USD,49595.1,Approved,0.456,0,Japan,35.6655,139.73,0
2,TXN00000002,2026-06-20T09:20:18Z,20260620,09:20:18,130,248,118,1,2,6,Withdrawal,500,AED,135.0,Approved,0.267,0,USA,47.6062,-122.3321,0
3,TXN00000003,2026-05-13T15:53:33Z,20260513,15:53:33,22,50,27,10,1,6,Purchase,416.7,AED,112.51,Approved,0.07,0,UK,51.5074,-0.1278,0
4,TXN00000004,2026-06-18T21:14:28Z,20260618,21:14:28,91,176,82,16,2,1,Withdrawal,100,USD,100.0,Approved,0.16,0,India,12.9716,77.5946,0
5,TXN00000005,2026-03-30T23:35:11Z,20260330,23:35:11,55,111,53,5,6,1,Wire,35083.85,USD,35083.85,Approved,0.271,0,USA,37.3318,-122.0312,0
6,TXN00000006,2025-04-24T14:54:45Z,20250424,14:54:45,125,240,114,14,3,6,Purchase,605.83,AED,163.57,Approved,0.292,0,UAE,25.2532,55.3657,0
7,TXN00000007,2026-06-18T16:35:31Z,20260618,16:35:31,159,304,152,18,6,1,Wire,43204.57,USD,43204.57,Approved,0.522,0,Singapore,1.3644,103.9915,0
8,TXN00000008,2025-06-21T18:48:34Z,20250621,18:48:34,154,297,146,23,2,4,Withdrawal,200,INR,2.4,Approved,0.293,0,Costa Rica,9.9281,-84.0907,1
9,TXN00000009,2025-06-22T00:22:46Z,20250622,00:22:46,133,254,121,5,4,4,Transfer,593.71,INR,7.12,Approved,0.198,0,USA,37.3318,-122.0312,0
10,TXN00000010,2025-10-09T06:00:53Z,20251009,06:00:53,129,246,117,2,1,4,Purchase,231.03,INR,2.77,Approved,0.125,0,USA,36.3729,-94.2088,0
