"EntityType","EntityName","Slug","AssetType","RelativePath","IncomingFileName","RequiredForV1","Notes"
"Fighter","Liu Kang","liu-kang","Portrait","public/assets/fighters/liu-kang/portrait.webp","liu-kang_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Liu Kang","liu-kang","FullBody","public/assets/fighters/liu-kang/fullbody.webp","liu-kang_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Liu Kang","liu-kang","Background","public/assets/fighters/liu-kang/background.webp","liu-kang_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Liu Kang","liu-kang","Model3D","public/assets/fighters/liu-kang/model.glb","liu-kang_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Liu Kang - default","liu-kang","default","public/assets/skins/liu-kang/default.webp","liu-kang_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Liu Kang - klassic","liu-kang","klassic","public/assets/skins/liu-kang/klassic.webp","liu-kang_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Liu Kang - seasonal","liu-kang","seasonal","public/assets/skins/liu-kang/seasonal.webp","liu-kang_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Liu Kang - premium","liu-kang","premium","public/assets/skins/liu-kang/premium.webp","liu-kang_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Scorpion","scorpion","Portrait","public/assets/fighters/scorpion/portrait.webp","scorpion_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Scorpion","scorpion","FullBody","public/assets/fighters/scorpion/fullbody.webp","scorpion_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Scorpion","scorpion","Background","public/assets/fighters/scorpion/background.webp","scorpion_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Scorpion","scorpion","Model3D","public/assets/fighters/scorpion/model.glb","scorpion_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Scorpion - default","scorpion","default","public/assets/skins/scorpion/default.webp","scorpion_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Scorpion - klassic","scorpion","klassic","public/assets/skins/scorpion/klassic.webp","scorpion_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Scorpion - seasonal","scorpion","seasonal","public/assets/skins/scorpion/seasonal.webp","scorpion_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Scorpion - premium","scorpion","premium","public/assets/skins/scorpion/premium.webp","scorpion_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Sub-Zero","sub-zero","Portrait","public/assets/fighters/sub-zero/portrait.webp","sub-zero_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Sub-Zero","sub-zero","FullBody","public/assets/fighters/sub-zero/fullbody.webp","sub-zero_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Sub-Zero","sub-zero","Background","public/assets/fighters/sub-zero/background.webp","sub-zero_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Sub-Zero","sub-zero","Model3D","public/assets/fighters/sub-zero/model.glb","sub-zero_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Sub-Zero - default","sub-zero","default","public/assets/skins/sub-zero/default.webp","sub-zero_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Sub-Zero - klassic","sub-zero","klassic","public/assets/skins/sub-zero/klassic.webp","sub-zero_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Sub-Zero - seasonal","sub-zero","seasonal","public/assets/skins/sub-zero/seasonal.webp","sub-zero_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Sub-Zero - premium","sub-zero","premium","public/assets/skins/sub-zero/premium.webp","sub-zero_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Raiden","raiden","Portrait","public/assets/fighters/raiden/portrait.webp","raiden_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Raiden","raiden","FullBody","public/assets/fighters/raiden/fullbody.webp","raiden_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Raiden","raiden","Background","public/assets/fighters/raiden/background.webp","raiden_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Raiden","raiden","Model3D","public/assets/fighters/raiden/model.glb","raiden_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Raiden - default","raiden","default","public/assets/skins/raiden/default.webp","raiden_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Raiden - klassic","raiden","klassic","public/assets/skins/raiden/klassic.webp","raiden_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Raiden - seasonal","raiden","seasonal","public/assets/skins/raiden/seasonal.webp","raiden_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Raiden - premium","raiden","premium","public/assets/skins/raiden/premium.webp","raiden_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Kung Lao","kung-lao","Portrait","public/assets/fighters/kung-lao/portrait.webp","kung-lao_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Kung Lao","kung-lao","FullBody","public/assets/fighters/kung-lao/fullbody.webp","kung-lao_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Kung Lao","kung-lao","Background","public/assets/fighters/kung-lao/background.webp","kung-lao_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Kung Lao","kung-lao","Model3D","public/assets/fighters/kung-lao/model.glb","kung-lao_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Kung Lao - default","kung-lao","default","public/assets/skins/kung-lao/default.webp","kung-lao_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Kung Lao - klassic","kung-lao","klassic","public/assets/skins/kung-lao/klassic.webp","kung-lao_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Kung Lao - seasonal","kung-lao","seasonal","public/assets/skins/kung-lao/seasonal.webp","kung-lao_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Kung Lao - premium","kung-lao","premium","public/assets/skins/kung-lao/premium.webp","kung-lao_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Kitana","kitana","Portrait","public/assets/fighters/kitana/portrait.webp","kitana_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Kitana","kitana","FullBody","public/assets/fighters/kitana/fullbody.webp","kitana_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Kitana","kitana","Background","public/assets/fighters/kitana/background.webp","kitana_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Kitana","kitana","Model3D","public/assets/fighters/kitana/model.glb","kitana_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Kitana - default","kitana","default","public/assets/skins/kitana/default.webp","kitana_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Kitana - klassic","kitana","klassic","public/assets/skins/kitana/klassic.webp","kitana_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Kitana - seasonal","kitana","seasonal","public/assets/skins/kitana/seasonal.webp","kitana_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Kitana - premium","kitana","premium","public/assets/skins/kitana/premium.webp","kitana_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Mileena","mileena","Portrait","public/assets/fighters/mileena/portrait.webp","mileena_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Mileena","mileena","FullBody","public/assets/fighters/mileena/fullbody.webp","mileena_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Mileena","mileena","Background","public/assets/fighters/mileena/background.webp","mileena_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Mileena","mileena","Model3D","public/assets/fighters/mileena/model.glb","mileena_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Mileena - default","mileena","default","public/assets/skins/mileena/default.webp","mileena_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Mileena - klassic","mileena","klassic","public/assets/skins/mileena/klassic.webp","mileena_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Mileena - seasonal","mileena","seasonal","public/assets/skins/mileena/seasonal.webp","mileena_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Mileena - premium","mileena","premium","public/assets/skins/mileena/premium.webp","mileena_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Johnny Cage","johnny-cage","Portrait","public/assets/fighters/johnny-cage/portrait.webp","johnny-cage_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Johnny Cage","johnny-cage","FullBody","public/assets/fighters/johnny-cage/fullbody.webp","johnny-cage_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Johnny Cage","johnny-cage","Background","public/assets/fighters/johnny-cage/background.webp","johnny-cage_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
