"EntityType","EntityName","Slug","AssetType","RequiredForV1","Status","SizeBytes","RelativePath","IncomingFileName","Notes"
"Fighter","Liu Kang","liu-kang","Portrait","Yes","Missing","0","public/assets/fighters/liu-kang/portrait.webp","liu-kang_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Liu Kang","liu-kang","FullBody","Yes","Missing","0","public/assets/fighters/liu-kang/fullbody.webp","liu-kang_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Liu Kang","liu-kang","Background","Yes","Missing","0","public/assets/fighters/liu-kang/background.webp","liu-kang_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Liu Kang","liu-kang","Model3D","No","Missing","0","public/assets/fighters/liu-kang/model.glb","liu-kang_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Liu Kang - default","liu-kang","default","No","Missing","0","public/assets/skins/liu-kang/default.webp","liu-kang_skin_default.webp","Optional skin image for future skin selector."
"Skin","Liu Kang - klassic","liu-kang","klassic","No","Missing","0","public/assets/skins/liu-kang/klassic.webp","liu-kang_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Liu Kang - seasonal","liu-kang","seasonal","No","Missing","0","public/assets/skins/liu-kang/seasonal.webp","liu-kang_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Liu Kang - premium","liu-kang","premium","No","Missing","0","public/assets/skins/liu-kang/premium.webp","liu-kang_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Scorpion","scorpion","Portrait","Yes","Missing","0","public/assets/fighters/scorpion/portrait.webp","scorpion_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Scorpion","scorpion","FullBody","Yes","Missing","0","public/assets/fighters/scorpion/fullbody.webp","scorpion_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Scorpion","scorpion","Background","Yes","Missing","0","public/assets/fighters/scorpion/background.webp","scorpion_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Scorpion","scorpion","Model3D","No","Missing","0","public/assets/fighters/scorpion/model.glb","scorpion_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Scorpion - default","scorpion","default","No","Missing","0","public/assets/skins/scorpion/default.webp","scorpion_skin_default.webp","Optional skin image for future skin selector."
"Skin","Scorpion - klassic","scorpion","klassic","No","Missing","0","public/assets/skins/scorpion/klassic.webp","scorpion_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Scorpion - seasonal","scorpion","seasonal","No","Missing","0","public/assets/skins/scorpion/seasonal.webp","scorpion_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Scorpion - premium","scorpion","premium","No","Missing","0","public/assets/skins/scorpion/premium.webp","scorpion_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Sub-Zero","sub-zero","Portrait","Yes","Missing","0","public/assets/fighters/sub-zero/portrait.webp","sub-zero_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Sub-Zero","sub-zero","FullBody","Yes","Missing","0","public/assets/fighters/sub-zero/fullbody.webp","sub-zero_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Sub-Zero","sub-zero","Background","Yes","Missing","0","public/assets/fighters/sub-zero/background.webp","sub-zero_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Sub-Zero","sub-zero","Model3D","No","Missing","0","public/assets/fighters/sub-zero/model.glb","sub-zero_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Sub-Zero - default","sub-zero","default","No","Missing","0","public/assets/skins/sub-zero/default.webp","sub-zero_skin_default.webp","Optional skin image for future skin selector."
"Skin","Sub-Zero - klassic","sub-zero","klassic","No","Missing","0","public/assets/skins/sub-zero/klassic.webp","sub-zero_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Sub-Zero - seasonal","sub-zero","seasonal","No","Missing","0","public/assets/skins/sub-zero/seasonal.webp","sub-zero_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Sub-Zero - premium","sub-zero","premium","No","Missing","0","public/assets/skins/sub-zero/premium.webp","sub-zero_skin_premium.webp","Optional skin image for future skin selector."
