Fighter,Slug,SourceFiles,ImportedFiles,OutputMB,Hero
"Ashrah","ashrah","5","2","0.08","/assets/fighters/ashrah/gallery/image-01.webp"
"Baraka","baraka","4","2","0.08","/assets/fighters/baraka/gallery/image-01.webp"
"Conan The Barbarian","conan-the-barbarian","1","1","0.00","/assets/fighters/conan-the-barbarian/gallery/image-01.webp"
"Cyrax","cyrax","3","2","0.08","/assets/fighters/cyrax/gallery/image-01.webp"
"Ermac","ermac","4","2","0.09","/assets/fighters/ermac/gallery/image-01.webp"
"General Shao","general-shao","4","2","0.09","/assets/fighters/general-shao/gallery/image-01.webp"
"Geras","geras","3","2","0.10","/assets/fighters/geras/gallery/image-01.webp"
"Ghostface","ghostface","1","1","0.00","/assets/fighters/ghostface/gallery/image-01.webp"
"Havik","havik","3","2","0.08","/assets/fighters/havik/gallery/image-01.webp"
"Homelander","homelander","0","0","0.00",""
"Johnny Cage","johnny-cage","9","2","0.05","/assets/fighters/johnny-cage/gallery/image-01.webp"
"Kenshi Takahashi","kenshi-takahashi","2","2","0.07","/assets/fighters/kenshi-takahashi/gallery/image-01.webp"
"Kitana","kitana","3","2","0.08","/assets/fighters/kitana/gallery/image-01.webp"
"Kung Lao","kung-lao","5","2","0.06","/assets/fighters/kung-lao/gallery/image-01.webp"
"Li Mei","li-mei","3","2","0.06","/assets/fighters/li-mei/gallery/image-01.webp"
"Liu Kang","liu-kang","3","2","0.07","/assets/fighters/liu-kang/gallery/image-01.webp"
"Mileena","mileena","6","2","0.09","/assets/fighters/mileena/gallery/image-01.webp"
"Nitara","nitara","1","1","0.05","/assets/fighters/nitara/gallery/image-01.webp"
"Noob Saibot","noob-saibot","2","2","0.14","/assets/fighters/noob-saibot/gallery/image-01.webp"
"Omni Man","omni-man","0","0","0.00",""
"Peacemaker","peacemaker","1","1","0.05","/assets/fighters/peacemaker/gallery/image-01.webp"
"Quan Chi","quan-chi","5","2","0.07","/assets/fighters/quan-chi/gallery/image-01.webp"
"Raiden","raiden","5","2","0.08","/assets/fighters/raiden/gallery/image-01.webp"
"Rain","rain","3","2","0.08","/assets/fighters/rain/gallery/image-01.webp"
"Reiko","reiko","3","2","0.08","/assets/fighters/reiko/gallery/image-01.webp"
"Reptile","reptile","6","2","0.09","/assets/fighters/reptile/gallery/image-01.webp"
"Scorpion","scorpion","11","2","0.05","/assets/fighters/scorpion/gallery/image-01.webp"
"Sektor","sektor","3","2","0.07","/assets/fighters/sektor/gallery/image-01.webp"
"Shang Tsung","shang-tsung","4","2","0.08","/assets/fighters/shang-tsung/gallery/image-01.webp"
"Sindel","sindel","4","2","0.07","/assets/fighters/sindel/gallery/image-01.webp"
"Smoke","smoke","6","2","0.08","/assets/fighters/smoke/gallery/image-01.webp"
"Sub Zero","sub-zero","5","2","0.08","/assets/fighters/sub-zero/gallery/image-01.webp"
"T 1000 Terminator","t-1000-terminator","1","1","0.03","/assets/fighters/t-1000-terminator/gallery/image-01.webp"
"Takeda Takahashi","takeda-takahashi","3","2","0.06","/assets/fighters/takeda-takahashi/gallery/image-01.webp"
"Tanya","tanya","4","2","0.11","/assets/fighters/tanya/gallery/image-01.webp"
